e1,b,e2,g,e2,t,e3,w,g,w,t,g,e3,w,b,e1,e2,t,w,g,b,t,e1
b,e3,e2,e1,w,t,b,e2,g,e3,t,g,w,t,e1,w,g,b,e1,e2,g,e3,w
e1,w,t,g,b,w,g,e3,t,e2,g,b,e1,e2,e3,t,w,b,g,t,e3,e2,w
e2,g,e3,w,t,w,g,t,b,e2,e1,g,e1,t,b,e3,w,g,e1,t,e2,b,w
e2,e3,e1,b,t,g,w,e1,t,g,e2,b,g,w,e3,t,b,w,e1,e2,w,t,g
e2,w,e3,t,g,b,w,t,e1,e3,e2,g,b,t,w,g,b,e1,t,w,e3,e1,g
g,t,w,b,w,e3,t,e2,b,e1,e3,w,t,g,g,b,w,t,e1,e2,g,e3,b
t,g,e1,e3,b,w,e2,t,w,g,b,e1,g,t,b,e3,e2,e1,w,e3,g,t,b
b,g,e2,w,t,e3,w,g,e1,e2,t,w,g,b,e1,t,g,e3,b,w,e2,e1,t
w,t,e2,g,w,e1,e3,b,t,e2,g,w,t,b,e3,g,e1,t,b,w,g,e2,e3
e2,e3,t,g,b,w,e1,w,g,t,e3,g,w,e1,e2,b,t,w,e3,t,b,g,e1
e3,g,e1,w,b,t,e2,g,t,w,b,w,t,e1,g,e3,t,e2,w,b,e1,e2,g
t,e3,g,w,e1,e2,t,b,e3,g,e1,b,g,w,t,e2,t,w,b,e3,g,e2,e1
g,b,w,t,e1,t,e3,e2,b,g,e1,w,t,e2,e3,t,g,b,w,t,g,e1,e2
e1,t,e2,w,g,b,t,e3,g,w,t,b,e2,e3,w,g,t,b,e1,g,e2,e3,b
w,b,e1,g,t,e2,t,w,b,e3,e1,g,b,e2,t,w,e3,g,t,e1,w,b,e2
e2,e1,g,w,t,e3,g,e1,b,w,t,g,e3,e2,t,b,e1,w,b,t,g,e3,e2
e3,g,t,e2,w,b,t,w,e1,g,b,e3,t,w,g,e1,b,e2,t,w,g,e3,e1
g,e1,w,b,t,e3,e2,g,w,t,e2,b,w,e3,t,b,e1,t,g,w,e2,e3,b
