g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,b,b,b,s
t,t,t,t,t,t,t,t,t,g,g,t,t,t,t,t,t,t,t,t
t,t,t,t,t,t,t,t,t,g,g,t,t,t,t,t,t,t,t,t
t,t,t,t,e3,t,t,t,t,g,g,t,t,t,t,e2,t,t,t,t
t,t,t,e2,s,e1,t,t,t,g,g,t,t,t,e1,s,e2,t,t,t
t,t,t,g,g,g,t,t,t,g,g,t,t,t,g,g,g,t,t,t
t,t,t,g,g,g,t,t,t,g,g,t,t,t,g,g,g,t,t,t
t,t,t,g,g,g,t,t,t,g,g,t,t,t,g,g,g,t,t,t
t,t,t,g,g,g,t,t,t,g,g,t,t,t,g,d,g,t,t,t
t,t,e1,g,g,g,g,g,g,g,g,g,g,g,g,g,g,e1,t,t
t,e2,s,g,d,g,g,g,g,g,g,g,g,g,g,g,g,d,e3,t
t,t,e1,g,g,g,g,g,g,d,g,g,g,g,g,g,g,e1,t,t
t,t,t,g,g,g,t,t,t,g,g,t,t,t,g,g,g,t,t,t
t,t,t,g,g,g,t,t,t,g,g,t,t,t,g,g,g,t,t,t
t,t,t,g,g,g,t,t,t,g,g,t,t,t,g,g,g,t,t,t
t,t,t,g,g,g,t,t,t,g,g,t,t,t,g,g,g,t,t,t
t,t,t,g,g,g,t,t,t,g,g,t,t,t,g,g,g,t,t,t
t,t,t,e2,s,e2,t,t,t,g,g,t,t,t,g,b,b,t,t,t
t,t,t,t,e3,t,t,t,t,b,g,g,d,g,g,b,b,b,b,t
t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
